frame,time_seconds,tracker_id,class_name,confidence,x1,y1,x2,y2
78,3.12,0,car,0.6223,746.43,283.84,785.58,317.71
78,3.12,5,car,0.7228,894.52,378.3,964.15,434.07
79,3.16,0,car,0.7019,744.2,282.65,783.91,316.42
79,3.16,5,car,0.7617,887.42,374.86,959.2,431.26
80,3.2,0,car,0.6193,743.66,281.99,782.84,315.22
80,3.2,5,car,0.7595,886.03,371.64,953.59,427.07
81,3.24,5,car,0.7008,881.51,370.12,950.24,425.31
81,3.24,0,car,0.536,740.49,281.63,779.74,312.74
82,3.28,0,car,0.6075,739.88,280.78,777.72,311.33
82,3.28,5,car,0.7762,878.3,369.04,945.33,422.86
83,3.32,0,car,0.6272,737.47,278.93,776.44,311.18
83,3.32,5,car,0.7304,873.11,367.43,941.25,420.53
84,3.36,0,car,0.6484,736.92,279.39,775.11,310.77
84,3.36,5,car,0.8228,870.55,361.95,937.8,416.44
85,3.4,0,car,0.7492,735.38,278.86,773.03,310.47
85,3.4,5,car,0.6753,865.86,362.03,931.82,414.82
86,3.44,0,car,0.7576,733.42,277.89,770.91,309.49
86,3.44,5,car,0.6026,861.95,359.85,927.85,410.42
87,3.48,0,car,0.7855,732.12,276.9,769.4,308.49
87,3.48,5,car,0.6827,858.76,356.61,924.86,407.89
88,3.52,0,car,0.7776,732.06,276.43,768.11,307.35
88,3.52,5,car,0.7844,856.54,354.52,920.97,406.4
89,3.56,0,car,0.7923,729.25,275.55,767.49,305.7
89,3.56,5,car,0.6361,855.4,353.63,917.48,404.23
90,3.6,0,car,0.7902,728.7,274.9,766.91,304.38
90,3.6,5,car,0.7591,850.67,351.91,912.08,400.56
91,3.64,0,car,0.762,727.85,274.9,765.21,304.31
91,3.64,5,car,0.8078,849.38,350.41,909.33,398.53
92,3.68,0,car,0.7154,726.12,274.67,763.52,303.76
92,3.68,5,car,0.8017,846.64,346.22,904.91,396.22
93,3.72,0,car,0.7405,723.61,273.94,762.31,303.01
93,3.72,5,car,0.8272,842.82,344.98,903.02,393.49
94,3.76,0,car,0.7154,723.02,272.51,761.0,302.41
94,3.76,5,car,0.8223,840.72,345.53,897.72,391.97
95,3.8,0,car,0.7355,722.68,272.46,760.02,301.08
95,3.8,5,car,0.781,838.2,344.44,894.96,390.29
96,3.84,0,car,0.6457,722.01,271.72,758.63,300.4
96,3.84,5,car,0.7874,831.31,339.31,890.68,386.08
